Deparment,Club Name,외국인 가입 가능 여부,영어설명,소개,eng_description,club_id
문화분과,크레퍼스,X,,,,
Culture Division,UIAC(산악부),O,Mountaineering (Climbing) Club,"-University of Incheon Alpine Club-

Enjoy UNIV!! Enjoy UIAC!!

인천대학교 산악부는1979년 인천대학교 개교와 동시에 제1호 동아리로 등록된 중앙동아리입니다!

산악부는 스포츠 클라이밍, 암벽등반, 산행, 빙벽등반, 백패킹, 종주 등 다양한 산악활동 및 스포츠 활동을 하고 있습니다. 봄의 꽃길, 여름의 계곡, 가을의 단풍, 겨울의 설화를 감상하며 걷는 능선 종주와 인간의 발길을 거부하는 암벽과 해마다 그 위용을 달리하는 빙벽에서의 빙벽등반은 산악부만 할 수 있는 특별한 활동입니다!

2009년 에베레스트 등정을 성공으로 대학산악부 최초 7대륙 최고봉 등정을 이룬 원정등반의 기록이 있습니다! 우리는 산과 자연에서 얻은 교훈을 차분히 기록으로 남겨 하나의 문화로 만들어가는 학술 활동등을 하고 있습니다! 인천대학교 산악부는 대학산악연맹에 소속되어 있는 동아리로서 서울 및 수도권 대학을 포함하여 전국의 대학산악부와 교류하여 만남을 가지고 함께 활동하여 다양한 경험과 뜻 깊은 시간을 가질 수 있습니다.

몸에 자일을 연결하여 서로 믿으며 함께 오르는 부원들 사이에 맺어진 인연은 “자일의 정”이라고 합니다!
“자일의 정”은 그 무엇보다 끈끈하고 잃지 않는 인연이라고 할 수 있습니다!

많은 학생들에게 산악부에 대해 질문을 하면 대개는 ’멋있다.’,’하고싶다’,’하지만 위험하다.’,’자신 없다.’고들 합니다. 타 동아리에 비해 어렵고 힘들고 조금은 두려운 부분도 있을 수 있지만 오히려 지금이기에 도전하고, 즐길 수 있습니다!!

우리 산악부는 학교와 함께 성장하며 진취적이고 산에 대한 열정과 진지한 탐구정신은 결코 타에 뒤지지 않는 동아리라고 자부합니다.","-University of Incheon Alpine Club-

Enjoy UNIV!! Enjoy UIAC!!

The Incheon University Mountaineering Club is a central club registered as the first club at the time of the university's establishment in 1979!

The mountaineering club engages in various mountain activities and sports, including sports climbing, rock climbing, hiking, ice climbing, and backpacking. Enjoying the flower paths of spring, the valleys of summer, the autumn foliage, and the winter snow, ridge traverses, and ice climbing on ice walls that refuse human footsteps are special activities that only the mountaineering club can offer!

In 2009, we made history as the first university mountaineering club to successfully summit the highest peaks on all seven continents, including Everest! We calmly document the lessons learned from the mountains and nature, creating a culture through our academic activities! The Incheon University Mountaineering Club is affiliated with the university mountaineering federation, allowing us to interact with mountaineering clubs from universities across the country, including those in Seoul and the metropolitan area, providing opportunities for diverse experiences and meaningful times together.

The bond formed among club members, climbing together while trusting each other with the rope, is called the ""Rope Bond""! The ""Rope Bond"" is an unbreakable and deeply rooted connection that surpasses everything else!

When many students are asked about the mountaineering club, they usually respond with, 'It's cool,' 'I want to do it,' 'But it's dangerous,' or 'I'm not confident.' While there may be challenges and fears compared to other clubs, it is precisely now that we can challenge ourselves and enjoy it!!

Our mountaineering club proudly believes that we are a progressive club that grows alongside the university, with a passion for the mountains and a serious spirit of inquiry that is second to none.",7
체육분과,돌핀,X,,,,
Sports Division,다크호스,O,Table Tennis Club,"안녕하세요! 인천대학교 중앙탁구동아리 다크호스입니다!

오른쪽 화살표(→)학생회관(17호관)에서 두번째로 큰 동아리실을 가지고 있고 동아리실에서 탁구를 치실 수 있습니다.
오른쪽 화살표(→)탁구 빼고도 보드게임, 포커같은 놀거리가 많습니다.
오른쪽 화살표(→)선배들은 탁구에 입문하는 후배들을 위해 기본기에 대한 레슨을 진행해주고 있습니다.
오른쪽 화살표(→)다양한 탁구 실력을 가진 동아리원!! 탁구를 못 치더라도 동아리 생활하는 데에 있어 아무 문제가 없습니다.
오른쪽 화살표(→)가지고 있는 탁구공 약 32568개 라켓도 공용으로 사용하는 것들을 부원이라면 누구나! 사용할 수 있습니다.
오른쪽 화살표(→)침상과 책상, 사물함까지! 시험 기간에 있기도 좋고 책들도 두고 다닐 수도 있습니다.
오른쪽 화살표(→)경인지구 대학생 탁구대회, 전국 대학생 탁구대회 등 탁구대회에 참여하며 실력에 관계없이 다른 학교 학생들과 탁구경기를 해보고 친목도모 또한 할 수 있는 기회가 많이 있습니다.","Hello! We are the Dark Horse Table Tennis Club at Incheon University!

→ We have the second largest club room in the Student Union (Building 17), where you can play table tennis.
→ Besides table tennis, there are many activities like board games and poker.
→ Senior members provide basic lessons for newcomers who are starting out in table tennis.
→ Our club members have various levels of table tennis skills! Even if you can't play, there’s no problem being part of the club.
→ We have about 32,568 table tennis balls and rackets that can be used by any member!
→ There are beds, desks, and lockers available! It's great during exam periods, and you can also keep your books there.
→ We participate in table tennis tournaments such as the Gyeonggi Province University Table Tennis Tournament and the National University Table Tennis Tournament, providing many opportunities to compete with students from other schools and to build friendships, regardless of skill level.",8
Sports Division,PANG,O,Squash Club,"중앙동아리 스쿼시 동아리 PANG은 인천대 학생들의 건강증진 및 스쿼시 사랑하는 인천대 학생들이 모여 함께 취미 생활을 이어가고 있습니다.
정기적으로 ‘스쿼시’라는 체육 종목을 함께 하는 것을 중심으로 활동하며, 이외에 동아리 내부 대회를 기획하여 진행하고, 인천시 내 대회를 위한 대비 운동도 함께 진행하고 있습니다.
현재 코로나로 상황으로 동아리 운영에 다소 불편함을 겪고 있지만, 그에 맞춰 정부가 지정한 방역지침을 준수하며 활동하고 있습니다.

현재 동아리는 학생회관 313호에 위치하고 있으며, 동아리 인스타그램에 inu_squash를 검색하시면 더 많은 활동사진과 정보를 확인하실 수 있습니다.
다어이트를 원하시거나 스쿼시에 관심이 있으신 분, 스트레스를 공이 벽에 맞는 소리와 함께 PANGPANG 터트리고 싶은 사람들이 모든 분들이 가입할 수 있는 동아리입니다.","The Central Club Squash Club PANG gathers Incheon University students who love squash and promotes their health. We regularly engage in the sport of ""squash"" and also plan and conduct internal club competitions, as well as training for competitions in Incheon City. Currently, due to the COVID-19 situation, the club is experiencing some inconveniences in its operations, but we are adhering to the government-designated quarantine guidelines while continuing our activities.

The club is currently located in Room 313 of the Student Hall, and you can find more activity photos and information by searching for inu_squash on the club's Instagram. This club is open to anyone who wants to diet, is interested in squash, or wants to relieve stress with the sound of the ball hitting the wall and bursting PANGPANG.",9
Sports Division,UITC,O,Tennis Club,"안녕하세요! 인천대학교 테니스동아리 UITC입니다.

동아리 부원들 대부분은 동아리에 들어와서 테니스를 처음 접합니다!
동아리 선배님들이 라켓 잡는법부터 기초를 탄탄하게 알려드립니다~ 기초를 익인 이후에는 부원들끼리 게임도 진행하면서 테니스 실력을 향상 시킬 수 있습니다.

매 주 동아리 활동 뿐만 아니라, 언제든지 동아리방에서 친목도 다질 수 있습니다!

인하대, 경인교대 등 다양한 타학교들과 교류전을 통해 경험을 쌓고, 새로운 사람들도 사귈 수 있는 기회가 있습니다.

교류전 뿐만 아니라 경인지구배, 양구오픈, 춘천오픈 등 다양한 전국테니스동아리 대회에도 참석한다면 더욱 알찬 동아리 활동을 할 수 있습니다!!

학생복지회관(17호관) 303호 UITC에서 언제나 여러분들을 기다리고 있겠습니다. 감사합니다","Hello! We are UITC, the tennis club at Incheon University.

Most of our club members are experiencing tennis for the first time after joining the club! Our senior members will teach you the basics, starting from how to hold a racket. After mastering the fundamentals, members can play games together to improve their tennis skills.

In addition to weekly club activities, you can also socialize in the club room at any time!

There are opportunities to gain experience and meet new people through exchange matches with various schools, such as Inha University and Kyongin National University of Education.

Not only exchange matches, but by participating in various national tennis club tournaments like the Gyeongin District Championship, Yanggu Open, and Chuncheon Open, you can have even more fulfilling club activities!

We are always waiting for you at UITC, Room 303 of the Student Welfare Center (Building 17). Thank you!",10
Sports Division,리바운드,O,Basketball Club,"학교설립 이듬해인 1979년에 창립된 저희 동아리는 농구만을 하는 동아리는 아닌 농구보다는 사람됨을 원합니다.
또한 돌핀이 원하는 돌핀인은 첫째 사람이 좋다. 둘째, 술이 좋다. 셋째 농구가 좋다라고 하늘을 우러러 말할 수 있는 사람입니다.

이런 밑바탕에 깔린 돌핀정신으로 농구를 하면서 희생정신과 협동정신을 함양하고 시합 때마다 좋은 기량으로 득점을 주도하고 득점을 도와주는 모습.
그리고 벤치에 앉아서 열심히 응원하는 모습. 승리를 위해 희생하며 패배뒤의 자성의 모습. 이 모든 것들을 우리 인천대 농구동아리 돌핀의 식구들은 어느것 하나라도 소홀히 생각하지 않습니다.

마지막으로 우리 돌핀인은 서로서로 더불어 살아가는 사회를 창조해 나가는데 있어 앞장 서는 동아리라는 것을 새삼 자부하고 싶은 바입니다.","Founded in 1979, the year after the university was established, our club is not just about basketball—we value character more than the game itself.
The ideal ""Dolphin"" member is, first and foremost, a good person. Second, someone who enjoys social gatherings. Third, someone who genuinely loves basketball and can proudly say so.

With this foundational ""Dolphin spirit,"" we strive to cultivate sacrifice and teamwork through basketball. Whether it's scoring with skill during games, supporting others with assists, or cheering passionately from the bench—every aspect of the game matters to us. We value the spirit of sacrifice for victory and self-reflection after defeat. None of these elements are taken lightly by any member of our basketball club at Incheon National University.

Finally, we take pride in being a club that leads by example in building a society where people live in harmony and support one another.",11
Sports Division,효월검우회,O,Kendo Club,"‘효월검우회’는 창립 이후 30년 넘은 역사와 전통을 자랑하는 인천대 검도부입니다. ‘효월검우회’가 가진 ‘새벽 달을 맞이하는 검도인의 모임’이라는 뜻처럼 검도인에 어울리는 예의와 정신을 배우고 자신을 단련하기 위해 꾸준히 노력하고 있습니다.

검도에 대해서
검도가 생소한 분들이 많기 때문에 우선 검도에 대해서 간략하게 소개드립니다. 검도란 검으로 심신단련을 목적으로 신체적인 것뿐만 아니라, 예의와 정신을 배우는 무도입니다. 검도를 함으로써 체력증진, 순발력 민첩성 판단력의 향상, 용기, 자신감, 성취감을 지닐 수 있습니다. 또한 자세가 바로 잡히고 태도는 침착해지며 품격을 갖출 수 있습니다.

검도는 남녀노소 모두에게 무리가 없는 운동입니다. 검도는 ‘평생 운동’이라 하여 나이가 많이 들어 신체적인 능력이 쇠퇴기에 들어도 운동을 할 때 더욱 무서운 검을 보여줍니다. 그래서 젊은 시절에만 하고 지나치는 것이 아니라 한 평생을 살면서 꾸준하게 할 수 있습니다. 더불어 보호 장비를 착용하고 검을 이용하여 서로 겨루는 운동이기 때문에 부상 위험이 매우 적은 안전한 운동입니다. 또한 검도는 허리와 하체의 균형과 힘을 요하는 운동으로 신체에 많은 무리를 주지 않는 효과적인 유산소 운동입니다.

동아리 활동
저희 동아리의 활동으로서 인천대 체육관에서 아침 운동 및 금요일 오후 시간대에 검도 수련을 꾸준히 진행하고 있습니다.

신입 부원부터 선배들까지 모두 참여해서 홍익대학교, 서울대학교, 서울과학기술대학교 등의 타 대학 학생들과 겨룰 수 있는 기회가 주어집니다. 교검 행사로서 인천 시내의 타 검도관 관장님들과의 교류를 통하고 있습니다. 특히 전무검도관 이우석 관장님께서 지도해주십니다.

이러한 실전적 운동뿐 아니라 MT, 축제 주점, 개강총회, 애완동물 자랑대회 등을 통해 동아리원들의 친목을 다지는 행사도 항상 진행하고 있으며, 단체로 같이 맞추는 의류도 있어서 구성원으로서 단합하기 적합합니다.

‘효월검우회’는 검도를 전혀 모르는 초심자도 처음부터 가르쳐드리면서도 대련을 하는 분들끼리도 실력 향상을 도모하는 다재다능한 동아리입니다. 운동을 통해서 건강과 교우관계를 모두 챙길 수 있는 기회는 지금 이 글을 읽고 있는 당신만의 기회입니다.","Hyowol Kendo Club is Incheon National University’s kendo club, boasting over 30 years of history and tradition. True to the meaning of our name—""a gathering of kendo practitioners who greet the dawn""—we strive to embody the etiquette and spirit of kendo, continuously working to improve ourselves.

About Kendo
Since many people may be unfamiliar with kendo, here’s a brief introduction. Kendo is a martial art that uses swords, not only to train the body but also to cultivate the mind, manners, and spirit. Through practicing kendo, you can improve your physical strength, reflexes, agility, judgment, courage, confidence, and sense of accomplishment. It also helps correct your posture, develop a calm attitude, and build character.

Kendo is suitable for everyone, regardless of age or gender. It’s called a ""lifetime sport"" because even as physical abilities decline with age, practitioners can continue to improve and demonstrate their skills. Unlike sports you outgrow, kendo is something you can practice throughout your life. Wearing protective gear and using bamboo swords also makes kendo a very safe activity with a low risk of injury. Furthermore, since kendo requires balance and lower body strength, it is an effective aerobic exercise that’s gentle on the body.

Club Activities
Our club holds regular morning training sessions at the INU gym, as well as Friday afternoon practices. Everyone, from new members to senior students, participates together. There are opportunities to compete with students from other universities such as Hongik University, Seoul National University, and SeoulTech. We also connect with local kendo dojos in Incheon, with special guidance from Master Woo-Seok Lee of Jeonmu Kendo Dojo.

In addition to practical training, we host social events like MTs (Membership Trainings), festival booths, welcome parties, and pet shows to build strong friendships within the club. We even have matching uniforms to foster a sense of unity.

Hyowol Kendo Club welcomes complete beginners, teaching them from the basics, while also helping experienced members continue to improve. If you’re looking for a club that lets you build both your health and social connections, this is your chance.",12
Sports Division,싸우라비,O,Taekwondo Club,"싸우라비는 인천대 유일 태권도 동아리입니다.

태권도를 좋아하는 학우들 뿐만아니라, 태권도를 처음 해보는 학우들도 함께 수련하고 있습니다. 1학기에는 축제 무대준비 중심으로, 2학기는 전국 태권도 연합회 겨루기 대회를 중심으로 운영하고 있습니다.
또한, 승단 심사를 희망하는 동아리원에 한해서 승단 심사 대비 운동도 학기마다 진행하고 있습니다.

운동시간은 월,수,금 18:30~20:00 화,목 20:00~21:30 으로 기본동작, 품새, 기술 발차기, 겨루기, 체력운동 등의 프로그램으로 진행중입니다.","Saurabi is the only Taekwondo club at Incheon National University.

Our club welcomes not only students who already love Taekwondo, but also complete beginners who want to try it for the first time. In the first semester, we focus on preparing performances for school festivals, while in the second semester, we train for the National Taekwondo Union Sparring Competition. For members interested in advancing their belt rank, we also offer special training sessions each semester to help them prepare for the promotion test.

Our regular training sessions are held on Mondays, Wednesdays, and Fridays from 6:30 pm to 8:00 pm, and on Tuesdays and Thursdays from 8:00 pm to 9:30 pm. The program includes basic techniques, poomsae (forms), advanced kicks, sparring, and physical conditioning.",13
Sports Division,BOSS,O,Snowboarding Club,"보드동아리 BOSS
'BOSS'는 인천대학교 스케이트보드 동아리 입니다.

한달 두번의 정기모임과 매주 열리는 소모임을 통해 인천 곳곳의 크루징 및 보드 스팟에서 다양한 트릭 연습과 크루징 활동을 진행합니다.

보드를 처음 접하시고 입문하시는 분들도 재미있고 흥미를 가질 수 있도록 기초부터 차근 차근 알려드리고 있습니다.

보드가 없으신 분들을 위해 동아리에서 소유한 스케이트보드, 롱보드, 크루져보드, 카버보드 등 다양한 보드들을 빌려드리고 있습니다.

스케이트 보드 뿐만 아니라 겨울 시즌에는 스노우보드 활동, 여름 시즌에는 웨이크보드 및 서핑등 다양한 계절 활동 또한 진행하고 있습니다.

보드를 타보고 싶은 사람, 보드를 배워보고 싶은 사람, 보드에 흥미가 있으신 모든 분들을 환영합니다.
17호관(학생회관) 432호에 동아리방이 위치해 있으며, @inu.boss 동아리 인스타그램에서 다양한 활동사진과 정보를 확인하실 수 있습니다.","Board Club BOSS
BOSS is the official skateboarding club of Incheon National University.

We hold regular meetings twice a month, along with weekly small group sessions where members gather at various cruising and board spots around Incheon to practice tricks and enjoy cruising together.

Even if you've never tried boarding before, we provide step-by-step guidance from the basics so that beginners can enjoy and find interest in the sport.

For those who don’t own a board, the club offers access to a variety of skateboards including regular skateboards, longboards, cruiser boards, and Carver boards.

In addition to skateboarding, we also enjoy seasonal activities such as snowboarding during the winter, and wakeboarding and surfing during the summer.

Whether you want to try boarding for the first time, learn how to ride, or just love the vibe, everyone is welcome to join.
Our club room is located in Room 432, Building 17 (Student Union Building), and you can check out photos and updates on our Instagram @inu.boss.",14
Sports Division,인풋아웃풋,O,Futsal Club,,,15
체육분과,퍼펙트,X,,,,
